area,restaurant_count,avg_delivery_rating,avg_demand_score,avg_opportunity,avg_cost,cluster,market_zone
"1 MG Road Mall, MG Road, Bangalore",1,3.7,190.1,190.1,350.0,0,Underserved Area
"153 Biere Street, Bangalore",1,4.2,7523.599999999999,7523.599999999999,800.0,2,Growth Opportunity
"5th Avenue, Brigade Road, Bangalore",1,4.2,682.5,682.5,400.0,0,Underserved Area
"Abhimaani Vasathi, Bangalore",1,3.4,187.4,187.4,900.0,3,Underserved Area
"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore",1,4.1,5305.799999999999,5305.799999999999,700.0,2,Growth Opportunity
"Ascendas Park Square, Whitefield, Bangalore",7,3.914285714285714,2815.628571428572,402.2326530612245,771.4285714285714,0,Growth Opportunity
"BTM, Bangalore",137,3.8197080291970797,5717.728467153284,41.735244285790394,383.57664233576645,1,Saturated Market
"Banashankari, Bangalore",79,3.9316455696202532,2812.8962025316455,35.606281044704374,379.746835443038,1,Saturated Market
"Banaswadi, Bangalore",36,3.813888888888889,2146.983333333333,59.63842592592592,461.1111111111111,0,Saturated Market
"Bangalore Central, Bellandur, Bangalore",2,3.8,5687.75,2843.875,400.0,2,Growth Opportunity
"Bangalore Central, JP Nagar, Bangalore",1,3.6,4137.2,4137.2,1000.0,2,Growth Opportunity
"Bannerghatta Road, Bangalore",88,3.8659090909090907,2991.0761363636366,33.98950154958678,435.79545454545456,1,Saturated Market
"Basavanagudi, Bangalore",73,4.075342465753424,2724.3424657534247,37.31975980484143,369.17808219178085,1,Saturated Market
"Basaveshwara Nagar, Bangalore",44,4.009090909090909,3165.065909090909,71.93331611570248,404.54545454545456,0,Saturated Market
"Bellandur, Bangalore",69,3.8782608695652177,2591.4260869565214,37.556899810964076,438.40579710144925,1,Saturated Market
"BluPetal Hotel, Koramangala, Bangalore",1,4.1,4007.3,4007.3,1200.0,2,Growth Opportunity
"Bommanahalli, Bangalore",42,3.8595238095238096,1548.4690476190476,36.868310657596375,402.3809523809524,0,High Competition Low Demand
"Bommasandra, Bangalore",26,3.819230769230769,1025.5730769230768,39.44511834319526,496.15384615384613,0,High Competition Low Demand
"Brigade Road, Bangalore",23,4.034782608695652,1167.817391304348,50.77466918714555,510.8695652173913,0,High Competition Low Demand
"Brookefield, Bangalore",69,3.8594202898550725,4808.897101449275,69.69416089056921,487.6811594202899,1,Saturated Market
"Brookefields Mall, Brookefield, Bangalore",4,3.975,5076.825,1269.20625,587.5,0,Growth Opportunity
