"area","supply","demand","market_type"
"Four Points by Sheraton Bengaluru Whitefield, Bangalore","1","551","Saturated"
"HBR Layout, Bangalore","17","39281","Moderate"
"Koramangala 7th Block, Bangalore","31","265841","High Opportunity"
"Kaggadasapura, Bangalore","17","53549","Moderate"
"Koramangala 1st Block, Bangalore","24","81417","High Opportunity"
"La Marvella Hotel, Bangalore","1","197","Saturated"
"Bellandur, Bangalore","69","243972","High Opportunity"
"Comfort Inn Insys, Yeshwantpur, Bangalore","1","167","Saturated"
"Hotel Southern Star, Lavelle Road, Bangalore","1","1122","Saturated"
"Prestige Trade Tower, Race Course Road, Bangalore","2","1605","Saturated"
"Orion Mall, Malleshwaram, Bangalore","11","27543","Moderate"
"Church Street, Bangalore","20","36978","Moderate"
"Vijay Nagar, Bangalore","64","260330","High Opportunity"
"St. Marks Road, Bangalore","14","31871","Moderate"
"Jalahalli, Bangalore","34","121594","High Opportunity"
"Bannerghatta Road, Bangalore","88","361441","High Opportunity"
"Koramangala 8th Block, Bangalore","10","22765","Moderate"
"Residency Road, Bangalore","16","58282","High Opportunity"
"Mysore Road, Bangalore","3","11700","Moderate"
"Chairman's Resort, Bangalore","1","273","Saturated"
"RMZ Ecoworld, Bellandur, Bangalore","7","8746","Moderate"
"Hotel Chalukya, Race Course Road, Bangalore","2","1625","Saturated"
"Nagawara, Bangalore","32","138103","High Opportunity"
"Race Course Road, Bangalore","2","6605","Moderate"
"Whitefield, Bangalore","130","492728","High Opportunity"
"ITPL Main Road, Whitefield, Bangalore","12","6079","Saturated"
"Hosur Road, Bangalore","5","31604","Moderate"
"Eden Park Restaurants, Bangalore","1","203","Saturated"
"Magadi Road, Bangalore","1","1015","Saturated"
"Sanjay Nagar, Bangalore","23","13485","Moderate"
"Svenska Design Hotel, Electronic City, Bangalore","2","1197","Saturated"
"Basavanagudi, Bangalore","73","271360","High Opportunity"
"By The Way, Electronic City, Bangalore","1","511","Saturated"
"Old Airport Road, Bangalore","23","144352","High Opportunity"
"Yelahanka, Bangalore","6","18490","Moderate"
"Sahakara Nagar, Bangalore","28","53805","Moderate"
"Kanakapura Road, Bangalore","19","31451","Moderate"
"Sarjapur Road, Bangalore","86","251682","High Opportunity"
"Domlur, Bangalore","13","43397","Moderate"
"JP Nagar, Bangalore","136","554691","High Opportunity"
"Fairfield by Marriott,Rajajinagar , Bangalore","1","107","Saturated"
"Brookefields Mall, Brookefield, Bangalore","4","28329","Moderate"
